Product Code,Description,Category,Make,Manufacturer,image
2KE/TEC/000,"CAB;Logger to PC/MS4 to USB A,2m 4W Mil Spec to USB,2m",Cello,,Technolog Ltd,2KETEC000.png
2KE/TEC/001,Cpod 10Hz 4-20mA Pulse Module,Cello,,Technolog Ltd,2KETEC001.png
2KE/TEC/006,CSO Cello Logger,Cello,,,2KETEC006.png
2KE/TEC/007,CSO V2 Sensor,Cello,,,2KETEC007.png
2KE/TEC/008,CSO Mounting Bracket,Cello,,,2KETEC008.png
2KE/TEC/009,GPRS Airtime,Cello,,,2KETEC009.png
2KE/TEC/010,Data Collection - Watercore,Cello,,,2KETEC010.png
2S1/AB1/144,Aztec 600 Sample Pot Top Cap with O-Ring,Aztec 600,Parts,ABB,2S1AB1144.png
2S1/EH1/088,Flexdip CYA112 - 1587/0,pH,Endress+Hauser,Endress & Hauser (UK),2S1EH1088.png
2S1/LA1/200,SC200 Controller (complete),Hach,Parts,Hach,2S1LA1200.png
2SI/0BA/018,LB480 Tsurumi pump 110V (No Float Switch),Pumps,Tsurumi,Obart Pumps Limited,2SI0BA018.png
2SI/AB1/009,Dissolved Oxygen Capsule,ABB,Parts,ABB Ltd,2SIAB1009.png
2SI/AB1/017,Dissolved Oxygen Probe 9408/8000,Instrument,ABB DO,ABB Ltd,2SIAB1017.png
2SI/AB1/054,Aztec 1000 Detector Assembly,SC1000,Parts,ABB,2SIAB1054.jpg
2SI/AB1/055,Aztec 600 Manifold ONLY,Aztec 600,Parts,ABB Ltd,2SIAB1055.png
2SI/AB1/058,Aztec 1000 Phosphate Kit 5L,Reagents,Reagent Kits,ABB,2SIAB1058.png
2SI/AB1/087,Aztec 600 Phosphate Reagent Set,Reagents,Reagent Kits,ABB,2SIAB1087.png
2SI/AB1/088,Aztec 600 Iron Reagent Set - 1 Kit - 19 Kg,Reagents,Reagent Kits,ABB,2SIAB1088.png
2SI/AB1/091,Aztec 1000 PCB Analogue Board- Flouride,ABB,Parts,ABB Ltd,2SIAB1091.png
2SI/AB1/095,Aztec 600 DI Water,Reagents,Reagent Kits,ABB,2SIAB1095.png
2SI/AB1/099A,Aztec 600 Replacement Barbed Fittings - M6 (Single),Aztec 600,Parts,ABB,2SIAB1099A.png
2SI/AB1/106,Aztec 600 Ammonia Colorimeter Kit,Reagents,Reagent Kits,ABB,2SIAB1106.png
2SI/AB1/107,Aztec 600 Aluminium Reagent Set,Reagents,Reagent Kits,ABB,2SIAB1107.png
2SI/AB1/108,Aztec 600 Replacement Sample Float Assembly,Aztec 600,Parts,ABB Ltd,2SIAB1108.png
2SI/AB1/122,Aztec 600 LED Assembly PCB-Phosphate,Aztec 600,Parts,ABB Ltd,2SIAB1122.png
2SI/AB1/124,Aztec 600 LED Assembly PCB-Manganese Low Range/Ammonia (Red LED),Aztec 600,Parts,ABB Ltd,2SIAB1124.png
2SI/AB1/125,Aztec 600 LED Assembly PCB-Iron/Aluminum (Amber),Aztec 600,Parts,ABB Ltd,2SIAB1125.png
2SI/AB1/127,Aztec 600 Level Sensor Assembly (All Bottles),Aztec 600,Parts,ABB Ltd,2SIAB1127.png
2SI/AB1/128,Aztec 600 Piston Assembly PCB,Aztec 600,Parts,ABB Ltd,2SIAB1128.png
2SI/AB1/129,Aztec 600 Detector PCB,Aztec 600,Parts,ABB Ltd,2SIAB1129.png
2SI/AB1/130,Aztec 600 Side Sample Pot Elbow Fitting- 3/8BSPP x 10mm,Aztec 600,Parts,ABB Ltd - Instrumentation,2SIAB1130.png
2SI/AB1/131,Aztec 600 Side Sample Pot Elbow Fitting- 1/4in BSPP x 6mm,Aztec 600,Aztec 600,ABB,2SIAB1131.png
2SI/AB1/132,Aztec 600 Replacement O-rings for Side sample pot,Aztec 600,Parts,ABB Ltd,2SIAB1132.png
2SI/AB1/133/R,Aztec 600 Front Door with Keypad and display Refurbished,Aztec 600,Parts,ABB,2SIAB1133R.png
2SI/AB1/134,Aztec 600 Valve PCB Assembly,Aztec 600,Parts,ABB Ltd,2SIAB1134.png
2SI/AB1/140,"Aztec 600 Piston Assembly- No Boards (Southern Water Pre-Approved, other authorities require quote)",Aztec 600,Parts,ABB Ltd,2SIAB1140.png
